新闻,#genre#
凤凰资讯,https://stream1.freetv.fun/320c213f4bb29b607f6c659b2a94918fc7f922c996ede3738fdff2ab9bd90217.m3u8
凤凰中文,https://stream1.freetv.fun/a3cfcb6f4429baaa2f182afaf1ab55003d71ca680ca0afd61968d36b33f26f03.m3u8
凤凰中文,https://stream1.freetv.fun/e0c859ca201f3d03836f51e08e68b5d21c2f94462c3bc7686058368b63bb6deb.m3u8
凤凰中文,https://stream1.freetv.fun/e6fd2d09a19cbeb78145f445436d44d9ec43c79a9ce2ffcdd4116a5c8bafdc6f.m3u8
凤凰香港,https://stream1.freetv.fun/1d0cd71c154df6f70ed3dbf11b59922a12c9ad1ec4f8f1913fdcc17065a24041.m3u8

央视,#genre#
CCTV1,http://101.204.85.200:85/tsfile/live/faacts/0001_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV2,http://101.204.85.200:85/tsfile/live/faacts/0002_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV3,http://101.204.85.200:85/tsfile/live/faacts/0003_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV4,http://101.204.85.200:85/tsfile/live/faacts/0004_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV5,http://101.204.85.200:85/tsfile/live/faacts/0005_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV6,http://101.204.85.200:85/tsfile/live/faacts/0006_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV7,http://101.204.85.200:85/tsfile/live/faacts/0007_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV8,http://101.204.85.200:85/tsfile/live/faacts/0008_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV9,http://101.204.85.200:85/tsfile/live/faacts/0009_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV10,http://101.204.85.200:85/tsfile/live/faacts/0010_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV11,http://101.204.85.200:85/tsfile/live/faacts/0011_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV12,http://101.204.85.200:85/tsfile/live/faacts/0012_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV13,http://101.204.85.200:85/tsfile/live/faacts/0013_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV14,http://101.204.85.200:85/tsfile/live/faacts/0014_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV15,http://101.204.85.200:85/tsfile/live/faacts/0015_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV16,http://1.197.204.20:85/tsfile/live/1090_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV17,http://1.197.204.20:85/tsfile/live/1059_1.m3u8?key=txiptv&playlive=1&authid=0

CCTV-4k超高清,https://stream1.freetv.fun/5d4213276b9703523ca4f8cbf694ad036106486cfa7c37443a8385da27dd3feb.m3u8
CCTV-4k超高清,https://stream1.freetv.fun/e82d0e0d33a069b42136cd6882919e8959039bfad2d4145dc704687c7ae9f864.m3u8

CGTN,http://101.204.85.200:85/tsfile/live/faacts/0016_1.m3u8?key=txiptv&playlive=1&authid=0

卫视,#genre#

上海卫视,http://101.204.85.200:85/tsfile/live/faacts/0107_2.m3u8?key=txiptv&playlive=0&authid=0

东南卫视,http://101.204.85.200:85/tsfile/live/faacts/0137_2.m3u8?key=txiptv&playlive=0&authid=0

云南卫视,http://101.204.85.200:85/tsfile/live/faacts/0119_2.m3u8?key=txiptv&playlive=0&authid=0

北京卫视,http://101.204.85.200:85/tsfile/live/faacts/0122_2.m3u8?key=txiptv&playlive=0&authid=0

四川卫视,http://101.204.85.200:85/tsfile/live/faacts/0123_1.m3u8?key=txiptv&playlive=0&authid=0

吉林卫视,http://101.204.85.200:85/tsfile/live/faacts/0116_1.m3u8?key=txiptv&playlive=0&authid=0

天津卫视,http://101.204.85.200:85/tsfile/live/faacts/0135_2.m3u8?key=txiptv&playlive=0&authid=0

安徽卫视,http://101.204.85.200:85/tsfile/live/faacts/0130_2.m3u8?key=txiptv&playlive=0&authid=0

山东卫视,http://101.204.85.200:85/tsfile/live/faacts/0131_2.m3u8?key=txiptv&playlive=0&authid=0

山西卫视,http://101.204.85.200:85/tsfile/live/0118_1.m3u8?key=txiptv&playlive=0&authid=0

广东卫视,http://101.204.85.200:85/tsfile/live/faacts/0125_1.m3u8?key=txiptv&playlive=0&authid=0

广西卫视,http://101.204.85.200:85/tsfile/live/faacts/0113_1.m3u8?key=txiptv&playlive=0&authid=0

江苏卫视,http://101.204.85.200:85/tsfile/live/faacts/0127_1.m3u8?key=txiptv&playlive=0&authid=0

江西卫视,http://101.204.85.200:85/tsfile/live/faacts/0138_2.m3u8?key=txiptv&playlive=0&authid=0

河北卫视,http://101.204.85.200:85/tsfile/live/faacts/0117_2.m3u8?key=txiptv&playlive=0&authid=0

河南卫视,http://101.204.85.200:85/tsfile/live/faacts/0139_2.m3u8?key=txiptv&playlive=0&authid=0

浙江卫视,http://101.204.85.200:85/tsfile/live/faacts/0124_2.m3u8?key=txiptv&playlive=0&authid=0

深圳卫视,http://101.204.85.200:85/tsfile/live/faacts/0126_1.m3u8?key=txiptv&playlive=0&authid=0

湖北卫视,http://101.204.85.200:85/tsfile/live/faacts/0132_2.m3u8?key=txiptv&playlive=0&authid=0

湖南卫视,http://101.204.85.200:85/tsfile/live/faacts/0128_2.m3u8?key=txiptv&playlive=0&authid=0

贵州卫视,http://101.204.85.200:85/tsfile/live/faacts/0120_2.m3u8?key=txiptv&playlive=0&authid=0

辽宁卫视,http://101.204.85.200:85/tsfile/live/faacts/0121_2.m3u8?key=txiptv&playlive=0&authid=0

重庆卫视,http://101.204.85.200:85/tsfile/live/faacts/0142_2.m3u8?key=txiptv&playlive=0&authid=0

黑龙江卫视,http://101.204.85.200:85/tsfile/live/faacts/0143_1.m3u8?key=txiptv&playlive=0&authid=0


